,schedule_season,schedule_week,schedule_playoff,full_result,spread_favorite,stadium_neutral,weather_temperature,weather_wind_mph,weather_detail,home_favorite,away_favorite
243,2010,17,0,0,-3.5,0,45.0,4.0,Sunny,0.0,1.0
244,2010,17,0,1,-3.5,0,72.0,0.0,Dome,1.0,0.0
245,2010,17,0,1,-10.5,0,19.0,1.0,Sunny,1.0,0.0
246,2010,17,0,1,-4.0,0,60.0,1.0,Sunny,1.0,0.0
247,2010,17,0,1,-9.5,0,72.0,0.0,Dome,1.0,0.0
248,2010,17,0,0,-4.5,0,30.0,1.0,Sunny,1.0,0.0
249,2010,17,0,1,-6.0,0,47.0,5.0,Sunny,1.0,0.0
250,2010,17,0,0,-7.0,0,72.0,0.0,Dome,1.0,0.0
251,2010,17,0,1,-1.5,0,48.0,5.0,Sunny,1.0,0.0
252,2010,17,0,0,0.0,0,48.0,1.0,Rain,0.0,0.0
253,2010,17,0,1,-6.0,0,50.0,3.0,Sunny,1.0,0.0
254,2010,17,0,1,-3.0,0,34.0,4.0,Sunny,0.0,1.0
255,2010,17,0,0,-4.0,0,44.0,7.0,Rain,0.0,1.0
256,2010,18,1,0,-2.0,0,72.0,0.0,Dome,1.0,0.0
257,2010,18,1,1,-10.0,0,62.31305449936629,4.844106463878327,Sunny,0.0,1.0
258,2010,18,1,0,-3.0,0,62.31305449936629,4.844106463878327,Sunny,0.0,1.0
259,2010,18,1,0,-2.5,0,62.31305449936629,4.844106463878327,Sunny,1.0,0.0
260,2010,19,1,0,-1.5,0,72.0,0.0,Dome,1.0,0.0
261,2010,19,1,1,-3.0,0,62.31305449936629,4.844106463878327,Sunny,1.0,0.0
262,2010,19,1,1,-10.0,0,62.31305449936629,4.844106463878327,Sunny,1.0,0.0
263,2010,19,1,0,-9.5,0,62.31305449936629,4.844106463878327,Sunny,1.0,0.0
264,2010,20,1,0,-3.5,0,62.31305449936629,4.844106463878327,Sunny,0.0,1.0
265,2010,20,1,1,-4.0,0,62.31305449936629,4.844106463878327,Sunny,1.0,0.0
266,2010,21,1,1,-3.0,1,62.31305449936629,4.844106463878327,Sunny,1.0,0.0
267,2011,1,0,1,-5.0,0,68.0,5.0,Sunny,1.0,0.0
268,2011,1,0,1,-7.0,0,72.0,0.0,Dome,1.0,0.0
269,2011,1,0,1,-1.5,0,75.0,2.0,Rain,1.0,0.0
270,2011,1,0,1,-1.5,0,78.0,7.0,Sunny,0.0,1.0
271,2011,1,0,0,-7.0,0,72.0,9.0,Sunny,1.0,0.0
272,2011,1,0,1,-9.0,0,92.0,4.0,Sunny,1.0,0.0
273,2011,1,0,1,-1.5,0,90.0,5.0,Sunny,0.0,1.0
274,2011,1,0,0,-3.5,0,80.0,0.0,Sunny,1.0,0.0
275,2011,1,0,1,-6.0,0,71.0,6.0,Sunny,1.0,0.0
276,2011,1,0,1,-8.5,0,74.0,7.0,Sunny,1.0,0.0
277,2011,1,0,1,-6.0,0,71.0,1.0,Sunny,1.0,0.0
278,2011,1,0,0,-4.0,0,72.0,0.0,Dome,0.0,1.0
279,2011,1,0,0,-1.5,0,88.0,6.0,Sunny,1.0,0.0
280,2011,1,0,1,-2.0,0,87.0,5.0,Sunny,0.0,1.0
281,2011,1,0,0,-3.0,0,75.0,6.0,Sunny,1.0,0.0
282,2011,1,0,0,-7.5,0,82.0,1.0,Sunny,0.0,1.0
283,2011,2,0,1,-2.5,0,72.0,0.0,Dome,0.0,1.0
284,2011,2,0,1,-4.0,0,66.0,5.0,Sunny,1.0,0.0
285,2011,2,0,0,-11.0,0,67.0,1.0,Sunny,0.0,1.0
286,2011,2,0,1,-3.0,0,73.0,6.0,Sunny,1.0,0.0
287,2011,2,0,1,-9.0,0,72.0,0.0,Dome,1.0,0.0
288,2011,2,0,0,-1.5,0,72.0,0.0,Dome,0.0,1.0
289,2011,2,0,0,-3.0,0,87.0,1.0,Sunny,0.0,1.0
290,2011,2,0,0,-1.0,0,72.0,0.0,Dome,1.0,0.0
291,2011,2,0,1,-7.0,0,63.0,12.0,Sunny,1.0,0.0
292,2011,2,0,1,-5.0,0,72.0,0.0,Dome,1.0,0.0
293,2011,2,0,1,-9.0,0,71.0,1.0,Sunny,1.0,0.0
294,2011,2,0,1,-14.0,0,63.0,1.0,Sunny,1.0,0.0
295,2011,2,0,0,-3.0,0,72.0,3.0,Sunny,0.0,1.0
296,2011,2,0,1,-6.0,0,79.0,1.0,Sunny,0.0,1.0
297,2011,2,0,1,-4.5,0,66.0,7.0,Sunny,1.0,0.0
298,2011,2,0,1,-7.0,0,68.0,6.0,Sunny,1.0,0.0
299,2011,3,0,1,-7.5,0,81.0,8.0,Sunny,0.0,1.0
300,2011,3,0,1,-3.5,0,75.0,4.0,Rain,1.0,0.0
301,2011,3,0,0,-5.0,0,63.0,1.0,Sunny,0.0,1.0
302,2011,3,0,0,-1.0,0,75.0,2.0,Sunny,1.0,0.0
303,2011,3,0,1,-2.0,0,77.0,5.0,Sunny,0.0,1.0
304,2011,3,0,0,-11.0,0,72.0,0.0,Dome,0.0,1.0
305,2011,3,0,0,-3.0,0,72.0,0.0,Dome,0.0,1.0
306,2011,3,0,1,-4.0,0,72.0,0.0,Dome,1.0,0.0
307,2011,3,0,1,-3.0,0,70.0,7.0,Sunny,0.0,1.0
308,2011,3,0,0,-8.0,0,79.0,5.0,Sunny,1.0,0.0
309,2011,3,0,1,-14.5,0,71.0,8.0,Sunny,1.0,0.0
310,2011,3,0,1,-3.0,0,66.0,20.0,Sunny,0.0,1.0
311,2011,3,0,0,-6.0,0,72.0,0.0,Dome,0.0,1.0
312,2011,3,0,1,-1.0,0,89.0,9.0,Sunny,1.0,0.0
313,2011,3,0,1,-7.0,0,78.0,1.0,Sunny,1.0,0.0
314,2011,3,0,1,-3.5,0,72.0,0.0,Dome,1.0,0.0
315,2011,4,0,0,-1.5,0,72.0,0.0,Dome,0.0,1.0
316,2011,4,0,1,-5.0,0,51.0,6.0,Sunny,1.0,0.0
317,2011,4,0,1,-7.0,0,60.0,8.0,Sunny,1.0,0.0
318,2011,4,0,1,-3.0,0,59.0,1.0,Sunny,0.0,1.0
319,2011,4,0,0,-1.5,0,55.0,2.0,Sunny,1.0,0.0
320,2011,4,0,0,-2.5,0,72.0,0.0,Dome,1.0,0.0
321,2011,4,0,1,-12.0,0,68.0,1.0,Sunny,1.0,0.0
322,2011,4,0,1,-4.0,0,79.0,1.0,Sunny,1.0,0.0
323,2011,4,0,0,-9.0,0,74.0,5.0,Sunny,0.0,1.0
324,2011,4,0,1,-3.0,0,70.0,7.0,Sunny,0.0,1.0
325,2011,4,0,0,-6.5,0,71.0,6.0,Sunny,0.0,1.0
326,2011,4,0,0,-10.0,0,54.0,2.0,Rain,1.0,0.0
327,2011,4,0,1,-7.0,0,84.0,9.0,Sunny,1.0,0.0
328,2011,4,0,0,-6.0,0,63.0,0.0,Sunny,0.0,1.0
329,2011,4,0,0,-3.0,0,72.0,0.0,Dome,0.0,1.0
330,2011,4,0,1,-10.0,0,73.0,0.0,Sunny,1.0,0.0
331,2011,5,0,0,-6.5,0,72.0,0.0,Dome,0.0,1.0
332,2011,5,0,1,-3.0,0,75.0,6.0,Sunny,0.0,1.0
333,2011,5,0,0,-6.5,0,75.0,1.0,Sunny,0.0,1.0
334,2011,5,0,0,-3.5,0,54.0,6.0,Sunny,0.0,1.0
335,2011,5,0,0,-4.5,0,76.0,6.0,Sunny,1.0,0.0
336,2011,5,0,0,-1.5,0,72.0,0.0,Dome,1.0,0.0
337,2011,5,0,0,-2.5,0,79.0,1.0,Sunny,0.0,1.0
338,2011,5,0,1,-3.5,0,72.0,0.0,Dome,1.0,0.0
339,2011,5,0,1,-7.5,0,84.0,9.0,Sunny,1.0,0.0
