,schedule_playoff,spread_favorite,stadium_neutral,weather_wind_mph,home_favorite,away_favorite,weather_detail_Dome,weather_detail_Rain,weather_detail_Snow,weather_detail_Sunny
1238,0,11.0,0,6.0,1.0,0.0,0,0,0,1
1038,0,3.5,0,0.0,1.0,0.0,1,0,0,0
2109,0,5.0,0,0.0,1.0,0.0,1,0,0,0
1764,0,1.5,0,0.0,1.0,0.0,1,0,0,0
629,0,6.5,0,11.0,1.0,0.0,0,0,0,1
2128,1,6.5,0,0.0,1.0,0.0,1,0,0,0
2022,0,6.5,0,3.0,1.0,0.0,0,0,0,1
848,0,16.5,0,16.0,1.0,0.0,0,0,0,1
775,0,3.5,0,8.0,1.0,0.0,0,0,0,1
864,0,4.0,0,8.0,1.0,0.0,0,1,0,0
811,0,6.0,0,9.0,0.0,1.0,0,0,0,1
1210,0,4.5,0,9.0,0.0,1.0,0,0,0,1
1367,0,3.0,0,2.0,1.0,0.0,0,0,0,1
789,0,3.0,0,9.0,1.0,0.0,0,0,0,1
151,0,4.5,0,6.0,1.0,0.0,0,0,0,1
1840,0,5.5,0,4.0,1.0,0.0,0,0,0,1
1206,0,3.0,0,0.0,1.0,0.0,1,0,0,0
209,0,2.5,0,1.0,1.0,0.0,0,0,0,1
1028,0,7.5,0,13.0,1.0,0.0,0,0,0,1
1436,0,6.0,0,0.0,1.0,0.0,1,0,0,0
385,0,11.0,0,0.0,1.0,0.0,1,0,0,0
148,0,2.5,0,8.0,1.0,0.0,0,0,0,1
96,0,9.0,0,1.0,1.0,0.0,0,0,0,1
346,0,2.5,0,1.0,1.0,0.0,0,0,0,1
2031,0,7.5,0,0.0,1.0,0.0,0,0,0,1
743,0,6.5,0,0.0,0.0,1.0,1,0,0,0
85,0,7.0,0,1.0,1.0,0.0,0,0,0,1
1654,0,3.0,0,2.0,0.0,1.0,0,0,0,1
132,0,1.5,0,1.0,1.0,0.0,0,0,0,1
2051,0,2.0,0,8.0,1.0,0.0,0,0,0,1
306,0,4.0,0,0.0,1.0,0.0,1,0,0,0
777,0,17.0,0,13.0,1.0,0.0,0,0,0,1
823,0,8.0,0,4.0,1.0,0.0,0,0,0,1
2,0,6.5,0,1.0,1.0,0.0,0,0,0,1
1196,0,1.0,0,12.0,0.0,1.0,0,0,0,1
586,0,6.5,0,6.0,1.0,0.0,0,0,0,1
1298,0,3.5,0,9.0,1.0,0.0,1,0,0,0
565,0,3.0,0,0.0,1.0,0.0,1,0,0,0
1798,0,7.5,0,0.0,1.0,0.0,1,0,0,0
277,0,6.0,0,1.0,1.0,0.0,0,0,0,1
1839,0,3.5,0,11.0,1.0,0.0,0,1,0,0
1655,0,3.5,0,4.0,1.0,0.0,0,0,0,1
2113,0,5.5,0,0.0,1.0,0.0,1,0,0,0
1842,0,7.5,0,0.0,1.0,0.0,1,0,0,0
1203,0,7.0,0,0.0,1.0,0.0,1,0,0,0
674,0,1.5,0,0.0,0.0,1.0,1,0,0,0
607,0,4.0,0,7.0,1.0,0.0,0,1,0,0
1972,0,4.0,0,4.0,1.0,0.0,0,0,0,1
444,0,4.5,0,0.0,0.0,1.0,1,0,0,0
538,0,2.0,0,9.0,1.0,0.0,0,0,0,1
1477,0,1.0,0,9.0,0.0,1.0,0,0,0,1
1442,0,4.5,0,6.0,1.0,0.0,0,0,0,1
536,0,10.0,0,11.0,1.0,0.0,0,0,0,1
589,0,13.5,0,13.0,1.0,0.0,0,0,0,1
631,0,6.5,0,0.0,1.0,0.0,1,0,0,0
986,0,1.0,0,0.0,1.0,0.0,1,0,0,0
1830,0,4.5,0,10.0,0.0,1.0,0,0,0,1
1304,0,2.5,0,0.0,1.0,0.0,0,0,0,1
997,0,13.5,0,7.0,1.0,0.0,0,0,0,1
1958,0,12.0,0,10.0,1.0,0.0,0,0,0,1
1320,0,11.0,0,1.0,1.0,0.0,0,0,0,1
605,0,3.5,0,0.0,1.0,0.0,1,0,0,0
873,0,5.0,0,2.0,0.0,1.0,0,0,0,1
1923,0,2.0,0,0.0,0.0,1.0,1,0,0,0
1954,0,3.0,0,0.0,0.0,1.0,1,0,0,0
284,0,4.0,0,5.0,1.0,0.0,0,0,0,1
1634,0,1.0,0,3.0,1.0,0.0,0,0,0,1
791,1,4.0,0,4.844106463878327,1.0,0.0,0,0,0,1
1487,0,1.5,0,0.0,0.0,1.0,1,0,0,0
2012,0,4.5,0,4.0,1.0,0.0,0,0,0,1
1861,1,11.0,0,16.0,1.0,0.0,0,0,0,1
772,0,2.0,0,3.0,1.0,0.0,0,1,0,0
